"employer_id","Presentation","Communication with stakeholders","Software engineering","Pipeline","Collaboration...5","Front-end","Tools","Self-learn","Math/ML","Problem-solving","Collaboration...11","SWE","Communication to stakeholders"
1,NA,NA,1,NA,1,NA,NA,1,NA,NA,1,1,0
2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
3,NA,1,1,1,NA,1,1,NA,NA,1,0,1,1
4,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,0,1
5,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,1,0
6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,0,0
7,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,1,0
8,1,1,1,1,NA,NA,NA,NA,NA,NA,0,1,1
9,NA,NA,1,1,NA,NA,NA,1,NA,NA,0,1,0
10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
12,NA,NA,1,NA,NA,NA,NA,NA,NA,1,0,1,0
13,NA,NA,1,NA,NA,NA,NA,1,1,NA,0,1,0
14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
15,NA,1,1,1,NA,NA,NA,NA,NA,NA,0,1,1
16,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,0,0
17,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,0,1
18,NA,1,1,1,NA,NA,NA,NA,NA,1,0,1,1
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
21,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,0,0
22,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,1,0
23,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0
24,NA,1,NA,NA,NA,NA,NA,1,NA,NA,0,0,1
25,NA,NA,1,NA,NA,NA,NA,1,NA,NA,0,1,0
26,1,1,NA,NA,NA,NA,NA,NA,1,NA,0,0,1
27,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
28,1,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
29,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0
30,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,0,1
31,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,0,0
32,NA,NA,1,NA,NA,NA,NA,NA,NA,1,0,1,0
33,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
34,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,0,0
35,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0
36,NA,1,NA,NA,NA,NA,NA,1,1,NA,0,0,1
37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
38,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,0,1
39,NA,1,NA,NA,NA,NA,NA,NA,1,NA,0,0,1
40,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,0,0
41,1,1,NA,NA,1,1,1,NA,NA,NA,1,1,1
42,NA,NA,NA,NA,1,1,1,NA,NA,1,1,1,0
43,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
44,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,1,0
45,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,1,0
46,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,0,0
47,NA,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
48,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
50,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,0,0
51,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,1,0
52,NA,1,NA,NA,NA,NA,NA,NA,1,1,0,0,1
53,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0
54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
55,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,0,0
56,NA,NA,1,NA,NA,NA,NA,1,NA,1,0,1,0
57,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,0,0
58,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,0,0
59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
60,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,0,0
61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
62,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,0,1
63,1,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
64,NA,1,NA,1,NA,1,NA,NA,NA,NA,0,1,1
65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
66,1,1,NA,NA,NA,NA,NA,1,NA,NA,0,0,1
67,1,1,NA,1,1,NA,1,NA,NA,NA,1,1,1
68,1,NA,NA,NA,1,NA,1,1,NA,NA,1,1,1
69,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
70,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
71,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,0
72,NA,NA,1,NA,NA,NA,1,NA,NA,NA,0,1,0
73,1,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
74,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,0,1
75,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,0,0
76,NA,1,NA,1,1,NA,1,NA,NA,1,1,1,1
77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
79,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
80,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,0,0
